,channel,x,y
0,0,875.0,1505.0
1,1,3132.5,1242.5
2,2,647.5,1417.5
3,3,2870.0,1032.5
4,4,700.0,682.5
5,5,2660.0,892.5
6,6,70.0,1155.0
7,7,3132.5,1277.5
8,8,735.0,1505.0
9,9,3307.5,1190.0
10,10,472.5,910.0
11,11,3115.0,1260.0
12,12,52.5,1382.5
13,13,3290.0,1190.0
14,14,770.0,1050.0
15,15,3150.0,1137.5
16,16,437.5,1627.5
17,17,3307.5,1207.5
18,18,70.0,1400.0
19,19,3220.0,892.5
20,20,857.5,892.5
21,21,3045.0,1190.0
22,22,945.0,997.5
23,23,3080.0,1190.0
24,24,87.5,1190.0
25,25,2100.0,1032.5
26,26,752.5,1172.5
27,27,3255.0,892.5
28,28,472.5,1592.5
29,29,3150.0,1155.0
30,30,805.0,1085.0
31,31,3167.5,945.0
32,32,717.5,892.5
33,33,2660.0,822.5
34,34,927.5,1015.0
35,35,3045.0,1225.0
36,36,105.0,1172.5
37,37,3132.5,1137.5
38,38,105.0,1155.0
39,39,3062.5,1225.0
40,40,910.0,980.0
41,41,3167.5,1137.5
42,42,770.0,1067.5
43,43,3150.0,1260.0
44,44,420.0,1417.5
45,45,2520.0,1067.5
46,46,70.0,1172.5
47,47,3360.0,980.0
48,48,805.0,1067.5
49,49,2257.5,1102.5
50,50,70.0,1190.0
51,51,2240.0,1102.5
52,52,87.5,1172.5
53,53,2397.5,805.0
54,54,735.0,1260.0
55,55,3115.0,1242.5
56,56,875.0,1470.0
57,57,3150.0,927.5
58,58,840.0,1505.0
59,59,2870.0,1575.0
60,60,735.0,910.0
61,61,2292.5,770.0
62,62,752.5,1277.5
63,63,3377.5,980.0
64,64,927.5,980.0
65,65,1820.0,822.5
66,66,717.5,1277.5
67,67,2835.0,1032.5
68,68,752.5,910.0
69,69,3167.5,910.0
70,70,770.0,1190.0
71,71,3150.0,1277.5
72,72,717.5,1295.0
73,73,3132.5,927.5
74,74,455.0,1610.0
75,75,2992.5,1522.5
76,76,945.0,1015.0
77,77,2660.0,927.5
78,78,105.0,1575.0
79,79,1837.5,1470.0
80,80,1137.5,1242.5
81,81,3220.0,910.0
82,82,752.5,1207.5
83,83,2590.0,1435.0
84,84,682.5,1382.5
85,85,2870.0,997.5
86,86,87.5,1400.0
87,87,3290.0,1225.0
88,88,437.5,1417.5
89,89,2695.0,892.5
90,90,70.0,1557.5
91,91,3307.5,1225.0
92,92,105.0,1190.0
93,93,3132.5,945.0
94,94,420.0,1400.0
95,95,1855.0,1680.0
96,96,735.0,927.5
97,97,2100.0,1067.5
98,98,735.0,1295.0
99,99,3395.0,997.5
100,100,455.0,1400.0
101,101,3237.5,910.0
102,102,1102.5,1242.5
103,103,3167.5,1155.0
104,104,700.0,700.0
105,105,2362.5,770.0
106,106,105.0,1750.0
107,107,3132.5,1260.0
108,108,910.0,1015.0
109,109,1820.0,927.5
110,110,87.5,1382.5
111,111,3237.5,875.0
112,112,735.0,1207.5
113,113,3167.5,927.5
114,114,70.0,1365.0
115,115,3150.0,1172.5
116,116,1645.0,1085.0
117,117,3360.0,997.5
118,118,87.5,1365.0
119,119,2572.5,1277.5
120,120,647.5,1400.0
121,121,2660.0,542.5
122,122,52.5,1365.0
123,123,3045.0,1207.5
124,124,472.5,927.5
125,125,2100.0,1050.0
126,126,752.5,1295.0
127,127,3272.5,1207.5
128,128,122.5,280.0
129,129,3447.5,437.5
